name
xuetao shi
on behalf of the turkish neonatal jaundice registry collabolators
joanna s zeiger
robert s zeiger
shunhua gui
yuxia pei
li xu
weiping wang
hongbo jiang
ronald j nachman
krzysztof kaczmarek
janusz zabrocki
jinjun wang
emmanuelle magny
hélène le petitcorps
maria pociumban
zineb bouksanikacher
éric pautas
joël belmin
sylvie bastujigarin
carmelo lafuentelafuente
luiza almeida figueiredo
thais fuscaldi rebouças
sebastião rodrigo ferreira
gabriela flavia rodriguesluiz
rodrigo cambraia miranda
ricardo nascimento araujo
ricardo toshio fujiwara
marie vognstoft hjortbak
johanne hjort
jonas agerlund povlsen
rebekka vibjerg jensen
nicolaj brejnholdt støttrup
mia r laursen
nichlas riise jespersen
bo løfgren
hans erik bøtker
adrian burgess
carl senior
elisabeth moores
meredith t niles
jonathan d salerno
adebimpe o obembe
charlie h goldsmith
lisa a simpson
brodie m sakakibara
janice j eng
julia kathrin baumgart
berit brurok
øyvind sandbakk
ioannis bargiotas
julien audiffren
nicolas vayatis
pierrepaul vidal
stephane buffat
alain p yelnik
damien ricard
colin o’keeffe
suzanne mason
richard jacques
jon nicholl
muhammed majeed
shaheen majeed
kalyanam nagabhushanam
ardra punnapuzha
sheena philip
lakshmi mundkur
qi zhang
yao yu
jun zhang
hua liang
hangfei huang
keping li
paul schonfeld
shaoxi niu
xin ma
yu zhang
yennien liu
xufeng chen
huijie gong
yuanxin yao
kan liu
cristina ramos hernández
marta núñez fernández
abel pallares sanmartín
cecilia mouronte roibas
luz cerdeira domínguez
maria isabel botana rial
nagore blanco cid
alberto fernández villar
jeremiah j minich
megan m morris
matt brown
michael doane
matthew s edwards
todd p michael
elizabeth a dinsdale
laura ferguson
alexandra nicholson
ian henry
amitrajit saha
tilly sellers
sofia gruskin
fabio tatti
gabriel baudbovy
rebecca d sandlin
keith h k wong
shannon n tessier
anisa swei
lauren d bookstaver
bennett e ahearn
shyamala maheswaran
daniel a haber
shannon l stott
mehmet toner
hua yang
yan cai
zhihang zhuo
wei yang
chunping yang
jin zhang
yang yang
baoxin wang
fengrong guan
mikael b jensenjohansen
mia s o’toole
søren christensen
heiddis valdimarsdottir
sandra zakowski
dana h bovbjerg
anders b jensen
robert zachariae
tomoki yoshikawa
hikaru fujii
akiko okutani
miho shibamura
natsumi omura
kazutaka egawa
hirofumi kato
takuya inagaki
shizuko harada
souichi yamada
shigeru morikawa
masayuki saijo
neil d detweiler
kenneth g vigil
thomas c resta
benjimen r walker
nikki l jernigan
wojciech dmuchowski
dariusz gozdowski
aneta h baczewskadąbrowska
piotr dąbrowski
barbara gworek
irena suwara
chunhu shi
jo c dumville
nicky cullum
basma g eid
alison m gurney
shuyu piao
jun wan lee
harsha nagar
saetbyel jung
sujeong choi
seonhee kim
ikjun lee
sungmin kim
nara shin
yu ran lee
sang do lee
jin bong park
kaikobad irani
minho won
gang min hur
byeong hwa jeon
dong woon kim
cukseong kim
ragnhild l tveit
sverre lehmann
bjørn bjorvatn
matthias schürmann
norman shepheard
natalie frese
kevin geishendorf
holger sudhoff
armin gölzhäuser
ulrich rückert
christian kaltschmidt
barbara kaltschmidt
andy thomas
roberta galli
grit preusse
christian schnabel
thomas bartels
kerstin cramer
mariaelisabeth krautwaldjunghanns
edmund koch
gerald steiner
joshua amoadjei
kofi aduoadjei
christiana opokunyamah
chimaroake izugbara
chanyuan wu
qian wang
linrong he
enhao yang
xiaofeng zeng
carmen ka man wong
kenny kung
philip lung wai audoung
margaret ip
nelson lee
alice fung
samuel yeung shan wong
marissa m shamswhite
mei chung
zhuxuan fu
karl l insogna
micaela c karlsen
meryl s leboff
sue a shapses
joachim sackey
jian shi
taylor c wallace
connie m weaver
sébastien baillieul
bernard wuyam
jeanlouis pépin
mathieu marillier
renaud tamisier
dominic pérennou
samuel verges
b nicole reyes
shira c segal
margaret c moulson
lise bernard
teuta eljezi
hélène clauson
céline lambert
yassine bouattour
philip chennell
bruno pereira
valérie sautou
on behalf of the armed study group
kristen a lycett
j sook chung
joseph s pitula
claudine m kraan
kim m cornish
quang m bui
xin li
howard r slater
david e godler
emily k fowler
irina mohorianu
damian t smith
tamas dalmay
tracey chapman
oliver findling
rens van der logt
krassen nedeltchev
lutz achtnichts
john h j allum
rishav raj agarwal
chiaching lin
kuanta chen
vivek kumar singh
kristo ausmees
kersti ehrlichpeets
mirjam vallas
andre veskioja
kadi rammul
aune rehema
mihkel zilmer
epp songisepp
tiiu kullisaar
toru higaki
takeshi nakaura
masafumi kidoh
hideaki yuki
yasuyuki yamashita
yuko nakamura
fuminari tatsugami
yasutaka baba
makoto iida
kazuo awai
yasna k palmeirosilva
pelusa orellana
pia venegas
lara monteiro
manuel varasgodoy
errol norwitz
gregory rice
eduardo osorio
sebastián e illanes
aslaug johanne risøy
reidun lisbet skeide kjome
sverre sandberg
una ørvim sølvik
miguel jiménezalcázar
andreas limacher
rachita panda
marie méan
josephine bitterling
sven peine
thomas renné
jürg h beer
drahomir aujesky
bernhard lämmle
tobias a fuchs
james k tumwine
victoria nankabirwa
hama abdoulaye diallo
ingunn marie stadskleiv engebretsen
grace ndeezi
paul bangirana
anselme simeon sanou
espérance kashalaabotnes
michael boivin
bruno giordani
irene bircow elgen
penny holding
angelina kakoozamwesige
vilde skylstad
joyce nalugya
thorkild tylleskar
nicolas meda
kuixian huang
xingzhang luo
zheng zheng
hyeyeong choe
james h thorne
patrick r huber
dongkun lee
james f quinn
yingqi guo
shusen chang
feng sha
paul s f yip
john n cranmer
julia dettinger
kimberly calkins
minnie kibore
onesmus gachuno
dilys walker
sineenart sengyee
sung hwan yoon
suporn paksanont
thatcha yimthin
vanaporn wuthiekanun
direk limmathurotsakul
t eoin west
robert k ernst
narisara chantratita
julius mulindwa
kevin leiss
david ibberson
kevin kamanyi marucha
claudia helbig
larissa melo do nascimento
eleanor silvester
keith matthews
enock matovu
john enyaru
christine clayton
angela martinezperez
silvia roure díez
moncef belhassengarcia
diego torrústendero
jose luis perezarellano
teresa cabezas
cristina soler
marta díazmenéndez
miriam navarro
begoña treviño
fernando salvador
the soiltransmitted helminths’ study group of the spanish society of tropical medicine and international health semtsi
zhiqian li
lang you
dong yan
anthony a james
yongping huang
anjiang tan
maria sardi
vaishnavi paithane
michael place
de elegant robinson
james hose
dana j wohlbach
audrey p gasch
xin bai
jianan jia
meng fang
shipeng chen
xiaotao liang
shanfeng zhu
shuqin zhang
jianfeng feng
fengzhu sun
chunfang gao
romesh g abeysuriya
jonathan hadida
stamatios n sotiropoulos
saad jbabdi
robert becker
benjamin a e hunt
matthew j brookes
mark w woolrich
ahmadreza ghaffarizadeh
randy heiland
samuel h friedman
shannon m mumenthaler
paul macklin
michael a moxley
kalyan c vinnakota
jason n bazil
nathan r qi
daniel a beard
joseph a edwards
christian m santosmedellín
zachary s liechty
bao nguyen
eugene lurie
shane eason
gregory phillips
venkatesan sundaresan
thamir alandijany
ashley p e roberts
kristen l conn
colin loney
steven mcfarlane
anne orr
chris boutell
kyle burrows
frann antignano
alistair chenery
michael bramhall
vladimir korinek
t michael underhill
colby zaph
louise e hogan
joshua vasquez
kristen s hobbs
emily hanhauser
brandon aguilarrodriguez
rajaa hussien
cassandra thanh
erica a gibson
alexander b carvidi
louis c b smith
shahzada khan
martin trapecar
shomyseh sanjabi
ma somsouk
cheryl a stoddart
daniel r kuritzkes
steven g deeks
timothy j henrich
jarrod j mousa
elad binshtein
stacey human
rachel h fong
gabriela alvarado
benjamin j doranz
martin l moore
melanie d ohi
james e crowe jr
marco biddau
anne bouchut
jack major
tracy saveria
julie tottey
ojore oka
marcel vanlith
katherine elizabeth jennings
jana ovciarikova
amy derocher
boris striepen
ross frederick waller
marilyn parsons
lilach sheiner
ying wang
craig l zirbel
neocles b leontis
biao ding
shubhada hooli
tim colbourn
norman lufesi
anthony costello
bejoy nambiar
satid thammasitboon
charles makwenda
charles mwansambo
eric d mccollum
carina king
jaynee r kim
kenneth a hayes
norine w yeung
robert h cowie
rodrigo z megale
allan pollack
helena britt
jane latimer
vasi naganathan
andrew j mclachlan
manuela l ferreira
nattawan palavutitotai
anupop jitmuang
sasima tongsai
pattarachai kiratisin
nasikarn angkasekwinai
robert y fidler
jessica carroll
kristen w rynerson
danielle f matthews
ralph g turingan
ying huo
yaohua zhang
huifen guo
yingjuan liu
qi fang
jianxu zhang
hengfu lin
yingda chen
shyrchyr chen
paige m chorner
roger a moorehead
wanxue wang
zhenni yue
zhengping tian
yiran xie
jiamiao zhang
yuanping she
bing yang
yuan ye
yihua yang
mohammad reza bakhtiarizadeh
abdolreza salehi
rocío melissa rivera
hyo jung sim
sanghyun kim
kyungjae myung
taejoon kwon
hyunshik lee
tae joo park
koji abe
toshiyasu nakamura
eiko yamabe
koichi oshio
takeshi miyamoto
masaya nakamura
morio matsumoto
kazuki sato
pinnan cheng
yencheng chiu
hungchih chiu
shihchieh chien
juan pablo rigalli
matthias reichel
tasmin reuter
guillermo nicolás tocchetti
gerhard dyckhoff
christel heroldmende
dirk theile
johanna weiss
julia schmid
vanessa gut
achim conzelmann
gorden sudeck
priya revathikumar
johanna estelius
utsa karmakar
erwan le maître
marina korotkova
perjohan jakobsson
jon lampa
rachel o coats
raymond j holt
geoffrey p bingham
mark a monwilliams
taina conrad
robert j paxton
günter assum
manfred ayasse
abraham lwidiko
stephen matthew kibusi
azan nyundo
bonaventura c t mpondo
miguel j divo
bartolome r celli
beatriz pobladorplou
amaia calderónlarrañaga
juan pablo detorres
luis a gimenofeliu
juan bertó
javier j zulueta
ciro casanova
victor m pintoplata
carlos cabreralopez
francesca polverino
jonás carmona píréz
alexandra pradostorres
jose m marin
on behalf of the epichron—bode collaborative group
chonticha saisawang
atichat kuadkitkan
prasert auewarakul
duncan r smith
albert j ketterman
tom brown
nick brown
elliott j stollar
sílvia abril
mireia diaz
alain lenoir
carolina ivon paris
raphaël boulay
crisanto gómez
ksenia s onufrieva
alexey v onufriev
alexandra a portnova
gaurav mukherjee
keshia m peters
ann yamane
katherine m steele
dayse távoravieira
andre wedekind
roberta marino
suzanne c purdy
gunesh p rajan
meha bhatt
stefan perera
laura zielinski
rebecca b eisen
sharon yeung
wala elsheikh
jane dejesus
sumathy rangarajan
heather sholer
elizabeth iordan
pam mackie
shofiqul islam
mahshid dehghan
lehana thabane
zainab samaan
peter c van den akker
anna m g pasmooij
hans joenje
robert m w hofstra
gerard j te meerman
marcel f jonkman
ji hee yu
kyungdo han
nam hoon kim
hye jin yoo
ji a seo
sin gon kim
kyung mook choi
sei hyun baik
nan hee kim
maia sieverding
cynthia onyango
lauren suchman
digna de kam
jolanda m b roelofs
alexander c h geurts
christina lund kidholm
hans christian beck
julie bukh madsen
nikolai bjødstrup palstrøm
jes sanddal lindholt
lars melholt rasmussen
wei wang
chenchang xiao
xing yao
yinmei yang
hong yan
shiyue li
scott sinnett
cj maglinti
alan kingstone
haroldo v ribeiro
quentin s hanley
dan lewis
eszter bokányi
zoltán szállási
gábor vattay
julie wagner
karl m strosing
sashko g spassov
ziwei lin
helen engelstaedter
sabine tacke
alexander hoetzel
simone faller
amanda souza câmara
eduardo horjales
terusha chetty
claire thorne
anna coutsoudis
aleksey etinger
kumar
william ackley
leland soiefer
jonathan chun
prabjhot singh
eric grossman
albert matalon
robert s holzman
bjorn meijers
jerome lowenstein
eiji sasaki
shizuka sasaki
daisuke chiba
yuji yamamoto
atsushi nawata
eiichi tsuda
shigeyuki nakaji
yasuyuki ishibashi
shubham shrivastava
divya tiraki
arundhati diwan
sanjay k lalwani
meera modak
akhilesh chandra mishra
vidya a arankalle
gary loughran
andrew e firth
john f atkins
ivaylo p ivanov
tanguang gao
tingjun zhang
hong guo
yuantao hu
jianguo shang
yulan zhang
liselot m mus
geertrui denecker
frank speleman
bart i roman
veronika ferencziová
gábor m harami
julianna b németh
tibor vellai
mihály kovács
john h wasson
lynn ho
laura soloway
l gordon moore
chindo ibrahim bisallah
lekhraj rampal
munnsann lye
sherina mohd sidik
normala ibrahim
zubairu iliyasu
michael ochigbo onyilo
xiaoxia he
guowu liu
dongyan xia
xia feng
yi lv
huanyi cheng
yuehua wang
hongyan lu
yan jiang
motohiro tamiya
akihiro tamiya
takako inoue
madoka kimura
kei kunimasa
kenji nakahama
yoshihiko taniguchi
takayuki shiroyama
shunichi isa
kazumi nishino
toru kumagai
hidekazu suzuki
tomonori hirashima
shinji atagi
fumio imamura
jean chenevier
david gonzález
j vicente aguado
francisco chinesta
elías cueto
cornelia a bidewell
susanna m williamson
jon rogers
yue tang
richard j ellis
liljana petrovska
manal abuoun
eric cruz
sushil kumar
li yuan
jyothi arikkath
surinder k batra
jiangtao lin
jie gao
kefang lai
xin zhou
bei he
jianying zhou
changzheng wang
somayeh sharifi
abbas pakdel
mansour ebrahimi
james m reecy
samaneh fazeli farsani
esmaeil ebrahimie
jacqueline alexander
april m teague
jing chen
christopher e aston
yuetkin leung
steven chernausek
rebecca a simmons
sara e pinney
magambo phillip kimuda
harry noyes
vincent pius alibu
issa sidibe
dieuodonne mumba ngoyi
christiane hertzfowler
annette macleod
özlem tastan bishop
trypanogen research group as members of the h3africa consortium
soumita das
pavimol angsantikul
christine le
denny bao
yukiko miyamoto
weiwei gao
liangfang zhang
lars eckmann
warllem junio oliveira
fernanda do carmo magalhães
andressa mariana saldanha elias
vanessa normandio de castro
vivian favero
catieli gobetti lindholz
áureo almeida oliveira
fernando sergio barbosa
frederico gil
maria aparecida gomes
carlos graeffteixeira
martin johannes enk
paulo marcos zech coelho
mariângela carneiro
deborah aparecida negrãocorrêa
stefan michael geiger
elizabeth j mateer
cheng huang
nathan y shehu
slobodan paessler
andrea freschi
stella k hur
federica maria valente
folami y ideraabdullah
angela sparago
maria teresa gentile
andrea oneglia
diego di nucci
luca coluccid’amato
joanne l thorvaldsen
marisa s bartolomei
andrea riccio
flavia cerrato
sebastian evesvan den akker
john t jones
edgar herreradelgado
ruben perezcarrasco
james briscoe
peter sollich
lei sun
helen k alexander
balazs bogos
daniel j kiviet
martin ackermann
sebastian bonhoeffer
bernhard voelkl
lucile vogt
emily s sena
hanno würbel
bridget s fisher
richard r green
rachel r brown
matthew p wood
tiffany hensleymcbain
cole fisher
jean chang
andrew d miller
william j bosche
maud mavigner
charlene j miller
michael gale jr
ann chahroudi
nichole r klatt
donald l sodora
lejla imamovic
maite muniesa
raphael vallat
benoit chatard
mark blagrove
perrine ruby
per kristian knudsen
petter brandtzaeg
e arne høiby
jon bohlin
ørjan samuelsen
martin steinbakk
tore g abrahamsen
fredrik müller
karianne wiger gammelsrud
óscar herrero
mónica aquilino
paloma sánchezargüello
rosario planelló
robbin h ophuis
joran lokkerbol
mickaël hiligsmann
tatiana garcia diaz
antonio ferriani branco
fernando alberto jacovaci
clóves cabreira jobim
dheyme cristina bolson
joão luiz pratti daniel
laura kress
mirko bristle
tatjana aue
choon kwan kim
youn mi choi
eunsin bae
mihn sook jue
hyung seok so
eungsoo hwang
marcel veltrop
laura van vliet
margriet hulsker
jill claassens
conny brouwers
cor breukel
jos van der kaa
margot m linssen
johan t den dunnen
sjef verbeek
annemieke aartsmarus
maaike van putten
stéphanie wagner
eva k brack
eveline stutzgrunder
philipp agyeman
kurt leibundgut
oliver teuffel
roland a ammann
jérôme gauthey
raphaël tièche
sven streit
tomoko fujii
hiroyuki oka
junji katsuhira
juichi tonosu
satoshi kasahara
sakae tanaka
ko matsudaira
lukas d trachsel
christoph p ryffel
stefano de marchi
christian seiler
nicolas brugger
prisca eser
matthias wilhelm
shiyun xiao
wen zhang
nancy r manley
jaeil roh
yujin kim
jahyun oh
yunmi kim
jeehyun lee
jaehoon lee
kyunghee chun
hanwoong lee
henock ambachew
meijuan zheng
faustina pappoe
jilong shen
yuanhong xu
takayoshi matsuda
takuhiro ito
chie takemoto
kazushige katsura
mariko ikeda
motoaki wakiyama
mutsuko kukimotoniino
shigeyuki yokoyama
yoshikazu kurosawa
mikako shirouzu
erick gonzálezmedina
josé alfredo castilloguerrero
sharon zinah herzka
guillermo fernández
harley m smith
brady p smith
norma b morales
sam moskwa
peter r clingeleffer
mark r thomas
xiang gao
edward randell
haicheng zhou
guang sun
daiki hira
hiroyoshi koide
shigemi nakamura
toyoko okada
kazunori ishizeki
masafumi yamaguchi
setsuko koshiyama
tetsuya oguma
kayoko ito
saori funayama
yuko komase
shinya morita
kohshi nishiguchi
yasutaka nakano
tomohiro terada
m yavuz acikalin
karli k watson
gavan j fitzsimons
michael l platt
romain irague
christopher m topham
nelly martineau
audrey baylac
clément auriol
thomas walther
jeanmarie françois
isabelle andré
magali remaudsiméon
hassan m k ghomrawi
russell j funk
michael l parks
jason owensmith
john m hollingsworth
yeeun kim
youngji byon
hwasoo yeo
jan hovanec
jack siemiatycki
david i conway
ann olsson
isabelle stücker
florence guida
karlheinz jöckel
hermann pohlabeln
wolfgang ahrens
irene brüske
heinzerich wichmann
per gustavsson
dario consonni
franco merletti
lorenzo richiardi
lorenzo simonato
cristina fortes
marieelise parent
john mclaughlin
paul demers
maria teresa landi
neil caporaso
adonina tardón
david zaridze
neonila szeszeniadabrowska
peter rudnai
jolanta lissowska
eleonora fabianova
john field
rodica stanescu dumitru
vladimir bencko
lenka foretova
vladimir janout
hans kromhout
roel vermeulen
paolo boffetta
kurt straif
joachim schüz
benjamin kendzia
beate pesch
thomas brüning
thomas behrens
cláudia vicari bolognani
lílian barros de sousa moreira reis
adriano dias
iracema de mattos paranhos calderon
chenlong he
zuren feng
zhigang ren
tomaz crochemore
thiago domingos corrêa
marcus d lance
cristina solomon
ary serpa neto
joão carlos de campos guerra
priscila scolmeister lellis
livia muller bernz
natalia nunes
cassio massashi mancio
ana paula hitomi yokoyama
eliézer silva
maría marcuello
xavier mayol
eloísa felipefumero
jaume costa
laia lópezhierro
silvia salvans
sandra alonso
marta pascual
luís grande
miguel pera
tomokazu konishi
yoko takahashi
victoria frye
leo wilton
sabina hirshfield
mary ann chiasson
debbie lucy
dashawn usher
jermaine mccrossin
emily greene
beryl koblin
for the all about me study team
minju kim
gyeyoon yim
hyunyoung park
marcela agudelobotero
liliana giraldorodríguez
juana catalina murillogonzález
dolores minoleón
esteban cruzarenas
wenchi huang
ingkit lee
chingyen tsai
jienwei liu
paul montgomery
thees f spreckelsen
alice burton
jennifer r burton
alexandra j richardson
jolly beyezakashesya
rhoda k wanyenze
kathy goggin
sarah finocchariokessler
mahlet atakilt woldetsadik
deborah mindry
josephine birungi
glenn j wagner
m lasalvia
r scrima
g perna
c piccoli
n capitanio
p f biagi
l schiavulli
t ligonzo
m centra
g casamassima
a ermini
v capozzi
faizule hassan
sarah l lossie
ellen p kasik
audrey m channon
shuisong ni
michael a kennedy
grit winterfeld
hannes becher
stephanie voshell
khidir hilu
martin röser
renaud tissier
jeanine houwingduistermaat
mar rodríguezgirondo
silas maciel de oliveira
rodrigo estevam munhoz de almeida
ignacio a ciampitti
clovis pierozan junior
bruno cocco lago
paulo cesar ocheuze trivelin
josé laércio favarin
sangwon min
eunah christine song
akinsola oyelakin
christian gluck
kirsten smalley
roseanne romano
meirong zhang
sheng qin
pingzhen xu
guozheng zhang
arjuna medagama
manoj galgomuwa
kimie miyata
tadanobu yoshikawa
masayuki morikawa
masashi mine
nozomi okamoto
norio kurumatani
nahoko ogata
raiyan t zaman
silvan tuerkcan
morteza mahmoudi
toshinobu saito
phillip c yang
frederick t chin
michael v mcconnell
lei xing
lucia taramasso
antonio di biagio
francesca bovis
laura ambra nicolini
andrea antinori
laura milazzo
salvatore sollima
guido gubertini
fosca niero
annalisa saracino
raffaele bruno
vanni borghi
francesca montagnani
annamaria cattelan
hamid hasson
gloria taliani
antonella d’arminio monforte
claudio mastroianni
giovanni di perri
sara bigoni
massimo puoti
angiola spinetti
andrea gori
nicola boffa
bruno cacopardo
andrea giacometti
giustino parruti
vincenzo vullo
antonio chirianni
elisabetta teti
caterina pasquazzi
daniela segala
massimo andreoni
piera di lorenzo
hovirag lancioni
simone ceccobelli
licia colli
irene cardinali
taki karsli
marco rosario capodiferro
emine sahin
luca ferretti
paolo ajmone marsan
francesca maria sarti
emiliano lasagna
francesco panella
alessandro achilli
pierre mokondoko
robert h manson
taylor h ricketts
daniel geissert
carlos cervera
asunción moreno
cristina garciadelamària
manel almela
carles falces
eduard quintana
bàrbara vidal
jaume llopis
david fuster
carlos a mestres
francesc marco
jose m miró
on behalf of the hospital clinic endocarditis study group
andrea zoia
michele drigo
christine j piek
paolo simioni
marco caldin
dominik vondráček
aneta fuchsová
dirk ahrens
david král
petr šípek
benoit callendret
jort vellinga
kerstin wunderlich
ariane rodriguez
robin steigerwald
ulrike dirmeier
cedric cheminay
ariane volkmann
trevor brasel
ricardo carrion
luis d giavedoni
jean l patterson
chad e mire
thomas w geisbert
jay w hooper
mo weijtens
jutta hartkoornpasma
jerome custers
maria grazia pau
hanneke schuitemaker
roland zahn
fanjie meng
xiangpo pan
wenzhen tong
kerry a mcbrien
noah ivers
lianne barnieh
jacob j bailey
diane l lorenzetti
david nicholas
marcello tonelli
brenda hemmelgarn
richard lewanczuk
alun edwards
ted braun
braden manns
zhi yang
runxiang yang
min ji kwak
aiham qdaisat
junzhong lin
charles e begley
cielito c reyesgibby
saiching jim yeung
robert f brand
melinda k rostal
alan kemp
assaf anyamba
herman zwiegers
cornelius w van huyssteen
william b karesh
janusz t paweska
deepak mav
ruchir r shah
brian e howard
scott s auerbach
pierre r bushel
jennifer b collins
david l gerhold
richard s judson
agnes l karmaus
elizabeth a maull
donna l mendrick
b alex merrick
nisha s sipes
daniel svoboda
richard s paules
yuanhong jiang
chungcheng wang
hannchorng kuo
haizhou li
min li
xinrui yang
xin gui
guofeng chen
jiuyun chu
xingwang he
weitao wang
feng han
ping li
ashani lecamwasam
alexandra sextonoates
jake carmody
elif i ekinci
karen m dwyer
richard saffery
ashli f moore
vincent m cassone
kevin d alloway
paul a bartell
michael schriver
vincent kalumire cubaka
sylvere itangishaka
laetitia nyirazinyoye
per kallestrup
magda bucholc
maurice o’kane
siobhan ashe
kongfatt wonglin
laura treacy
håkon a bolkan
mette sagbakken
motoyuki tsuboi
kayoko hayakawa
hiroshi yamasaki
yuichi katanami
kei yamamoto
satoshi kutsuna
nozomi takeshita
shuzo kanagawa
norio ohmagari
yasuyuki kato
scott a nabity
josé e hagan
guilherme araújo
alcinéia o damião
jaqueline s cruz
nivison nery
elsio a wunder jr
mitermayer g reis
albert i ko
guilherme s ribeiro
jessica c nevoa
maria t mendes
marcos v da silva
siomar c soares
carlo j f oliveira
josé m c ribeiro
vincent o nyasembe
david p tchouassi
christian w w pirk
catherine l sole
baldwyn torto
glaucia diniz alessio
fernanda fortes de araújo
policarpo ademar sales júnior
matheus de souza gomes
laurence rodrigues do amaral
marcelo antônio pascoal xavier
andréa teixeiracarvalho
marta de lana
olindo assis martinsfilho
bradley h wagenaar
orvalho augusto
jason beste
stephen j toomay
eugene wickett
nelson dunbar
luke bawo
chea sanford wesseh
marcin waligora
malgorzata m bala
magdalena koperny
mateusz t wasylewski
karolina strzebonska
rafał r jaeschke
agnieszka wozniak
jan piasecki
agnieszka sliwka
jerzy w mitus
maciej polak
dominika nowis
dean fergusson
jonathan kimmelman
dan jin
ming wu
bosheng li
birte bücker
philipp keil
shaoman zhang
jigang li
dingming kang
jie liu
jie dong
xing wang deng
vivian irish
ning wei
eleazar rodriguez
jonathan chevalier
hassan el ghoul
kristoffer voldumclausen
john mundy
morten petersen
shannel r adams
so maezawa
kris g alavattam
hironori abe
akihiko sakashita
megan shroder
tyler j broering
julie sroga rios
michael a thomas
xinhua lin
carolyn m price
artem barski
paul r andreassen
satoshi h namekawa
alicia c salinero
elisabeth r knoll
z iris zhu
david landsman
m joan curcio
randall h morse
sean l beckwith
erin k schwartz
pablo e garcíanieto
devin a king
graeme j gowans
ka man wong
tessa l eckley
alexander p paraschuk
egan l peltan
laura r lee
wei yao
ashby j morrison
zhaoran zhang
dena guo
meghan e huber
sewoong park
dagmar sternad
vincent mirabet
pawel krupinski
olivier hamant
elliot m meyerowitz
henrik jönsson
arezki boudaoud
evan l ray
nicholas g reich
sur herrera paredes
tianxiang gao
theresa f law
omri m finkel
tatiana mucyn
paulo josé pereira lima teixeira
isaí salas gonzález
meghan e feltcher
matthew j powers
elizabeth a shank
corbin d jones
vladimir jojic
jeffery l dangl
gabriel castrillo
yisi s zhang
asif a ghazanfar
dennapa saeloh
varomyalin tipmanee
kin ki jim
marien p dekker
wilbert bitter
supayang p voravuthikunchai
michaela wenzel
leendert w hamoen
josien c van den noort
henk g kortier
nathalie van beek
dirkjan h e j veeger
peter h veltink
chihchiang chiu
mongliang lu
mingchyi huang
poyu chen
yenkuang lin
shihku lin
chunhsin chen
jordan l wilson
v a samaranayake
matt a limmer
joel g burken
chen shen
chen chu
yini geng
jiahua jin
fei chen
lei shi
hillary klonoffcohen
ana navarro
elizabeth a klonoff
harshavardhan janga
marina aznaourova
fabian boldt
katrin damm
arnold grünweller
leon n schulte
jun myoung yu
dongping wang
tessa r ries
leland s pierson iii
elizabeth a pierson
setayesh r tasbihgou
mina netkova
alain f kalmar
janine doorduin
michel m r f struys
regien g schoemaker
anthony r absalom
sindhrani dars
hayley uden
helen a banwell
saravana kumar
michaela angelika ihle
sebastian huss
wiebke jeske
wolfgang hartmann
sabine merkelbachbruse
hansulrich schildhaus
reinhard büttner
harri sihto
kirsten sundby hall
mikael eriksson
peter reichardt
heikki joensuu
eva wardelmann
marcelo mendes haro
luís cláudio paterno silveira
andrew wilby
mengjie xu
haibao ji
shunyao zhuang
wilson j e m costa
pedro f amorim
josé leonardo o mattos
patrick von born
marti bernardofaura
ignacio rubiosomoza
varahenage r perera
john d lapek jr
gerald l newton
david j gonzalez
kit pogliano
dimitri fayolle
michele fiore
pasquale stano
peter strazewski
yuri gori
ana stradiotti
federica camin
jia zhao
jiang liu
hong liang
jing huang
zhe chen
yuanjun nie
changbiao wang
yuguo wang
courtney e shell
glenn k klute
richard r neptune
amy r lewis
richard p young
james m gibbons
julia p g jones
w wiktor jedrzejczak
krzysztof kochanek
henryk skarzynski
peter busse
j jaime miranda
monique abimpaye
catherine m kirk
hari s iyer
neil gupta
eric remera
placidie mugwaneza
michael r law
marlene heckl
elisa schmoeckel
linda hertlein
miriam rottmann
udo jeschke
doris mayr
iynhyang lee
hyeyoung kang
hae sun suh
sukhyang lee
eun sil oh
hotcherl jeong
josé de jesús sánchez gonzález
josé ariel ruiz corral
guillermo medina garcía
gabriela ramírez ojeda
lino de la cruz larios
james brendan holland
roberto miranda medrano
giovanni emmanuel garcía romero
yoji kukita
kazuyoshi ohkawa
ryoji takada
hiroyuki uehara
kazuhiro katayama
kikuya kato
dianyun hou
linchun shi
mengmeng yang
jiong li
shuang zhou
hongxiao zhang
huawei xu
zander crook
tom booth
simon r cox
janie corley
dominika dykiert
paul redmond
alison pattie
adele m taylor
sarah e harris
john m starr
ian j deary
bin wang
ting li
yan niu
jie xiang
junjie cheng
bo liu
hui zhang
tianyi yan
susumu kanazawa
jinglong wu
samuel jimenez
laura mordillomateos
michele dileone
michela campolo
carmen carrascolopez
fabricia moitinhoferreira
tomas gallegoizquierdo
hartwig r siebner
josep vallssolé
juan aguilar
antonio oliviero
françois p douillard
diego mora
robyn t eijlander
michiel wels
willem m de vos
tadele melese
dereje habte
billy m tsima
keitshokile dintle mogobe
mercy n nassali
marianne deschamps
joão zilhão
sara croxford
zheng yin
fiona burns
andrew copas
katy town
sarika desai
andrew skingsley
valerie delpech
on behalf of the opttest project
pablo ramón
eduardo velázquez
adrián escudero
marcelino de la cruz
erik lichtenberg
lars j olson
hannah v wilson
mark i johnson
peter francis
rong fan
helen m cockerton
andrew d armitage
helen bates
emma cascantlopez
laima antanaviciute
xiangming xu
